A,B
5,10
18,31
5,8
4,5
10,15
2,3
4,4
2,2
4,4
2,2
33,40
7,6
8,15
10,8
3,3
1,1
11,12
2,2
10,5
1,1
1,1
1,1
2,3
19,30
13,18
2,3
3,3
1,2
3,4
3,8
4,6
1,1
1,1
6,10
1,1
2,2
4,4
1,1
1,1
6,10
0,1
0,3
0,2
2,3
6,11
28,49
5,8
22,32
27,30
25,42
8,13
2,2
10,10
4,4
3,4
12,16
1,1
2,2
1,1
5,6
19,30
1,1
8,13
43,59
4,5
6,10
14,20
9,15
10,15
9,15
7,10
25,30
9,15
7,10
5,8
7,10
12,10
5,5
7,10
9,15
11,10
9,15
22,30
47,70
70,70
8,10
10,12
16,20
2,2
1,1
11,15
50,70
18,30
8,10
5,5
64,70
7,10
2,2
4,5
16,20
20,30
4,5
6,3
59,70
70,70
66,70
7,8
5,2
5,5
61,70
10,3
70,70
47,70
3,3
7,10
55,70
1,1
2,2
1,1
28,30
62,70
4,8
1,1
3,2
35,70
2,2
49,70
6,4
50,70
28,35
45,70
5,5
64,70
12,22
3,5
28,36
21,25
15,35
33,45
25,36
8,13
1,2
1,1
40,55
12,14
6,5
4,4
1,1
5,6
1,1
1,2
8,11
13,27
21,33
1,1
2,2
1,1
4,4
3,3
12,10
4,6
5,6
14,18
5,7
4,8
1,1
5,5
7,9
2,1
2,3
4,7
3,3
2,2
6,9
1,1
6,8
20,26
1,1
1,1
3,1
1,1
4,5
5,5
3,3
57,65
11,12
6,11
11,15
44,72
3,3
1,1
5,5
4,5
7,7
5,7
14,21
3,5
28,37
18,21
3,5
27,41
7,11
3,5
1,1
1,1
103,120
33,61
36,58
20,31
5,5
8,8
3,3
12,14
9,7
16,13
11,13
1,2
34,48
14,10
5,5
17,15
1,1
4,6
2,2
2,2
4,5
3,3
